Chemical_Name,Community_URL,Indication,Therapeutic_group
"Inactivated quadrivalent influenza vaccine, split virion (high dose)",/apptracker/s/application-public/a102P00000BUk3C,"Given the indication will be for 60 plus, it is proposed to replace SD on the Schedule, for people aged 60 plus who meet the criteria",
Insujet,/apptracker/s/application-public/a102P000008ptwy,Insulin administration,Alimentary Tract and Metabolism
Insulin pump (including consumables),/apptracker/s/application-public/a102P000008puM6,Diabetes during pregnancy,Alimentary Tract and Metabolism
Ixekizumab,/apptracker/s/application-public/a10OZ00000017Dx,Inflammatory conditions,Dermatologicals
Lacosamide,/apptracker/s/application-public/a102P000008pu5w,"Epilepsy, move up to 5th line",Nervous System
Latex oral dams,/apptracker/s/application-public/a102P000008ptz7,Prevention of sexually transmitted infections,Genito-Urinary System
Levodopa / Carbidopa intestinal gel,/apptracker/s/application-public/a102P000008puND,Advanced Parkinson's with severe motor fluctuations despite optimised alternative treatment,Nervous System
Levofloxacin,/apptracker/s/application-public/a102P000008ptpQ,Helicobacter pylori - second line use,Alimentary Tract and Metabolism
Lidocaine [Lignocaine] With Prilocaine,/apptracker/s/application-public/a102P000008puWa,Widening community access for adults,Nervous System
Lidocaine [lignocaine] with adrenaline and tetracaine (4%; 0.1%; 0.5%),/apptracker/s/application-public/a102P000008pufj,Wound repair for children,Nervous System
Lidocaine [lignocaine] with adrenaline and tetracaine (4%; 0.1%; 0.5%),/apptracker/s/application-public/a102P000008puhU,Wound repair (not restricted by age),Nervous System
Liraglutide,/apptracker/s/application-public/a102P000008pu13,Diabetes - type 2,Alimentary Tract and Metabolism
Macitentan,/apptracker/s/application-public/a102P000008puIy,Pulmonary arterial hypertension,Cardiovascular System
Medtronic Guardian 3 and Guardian Connect continuous glucose monitoring system,/apptracker/s/application-public/a102P000008pueD,Type 1 diabetes,Alimentary Tract and Metabolism
Memantine hydrochloride,/apptracker/s/application-public/a102P00000BVtzr,"Dementia, 1st line",Nervous System
Memantine hydrochloride,/apptracker/s/application-public/a102P00000BVu0Q,"Dementia, moderate, cholinesterases not tolerable",Nervous System
Meningococcal group B vaccine - Invasive meningococcal disease,/apptracker/s/application-public/a10OZ0000000NB7,All adolescents 13-25 years,
Methoxyflurane,/apptracker/s/application-public/a102P000008puQf,Pain relief,Nervous System
Metronidazole,/apptracker/s/application-public/a102P000008puDF,Fungating wounds,Dermatologicals
Micronutrient formulas,/apptracker/s/application-public/a102P000008puPl,ADHD and or mood dysregulation,Nervous System
Mirabegron,/apptracker/s/application-public/a102P000008pudo,"Overactive bladder, 2nd line",Genito-Urinary System
Mirabegron,/apptracker/s/application-public/a102P00000BOI18,Open listing,Genito-Urinary System
Morphine sulphate (5 mg / 5 mL pre-filled syringes),/apptracker/s/application-public/a102P00000A0EJ7,Acute Pain,Various
Moxifloxacin ophthalmic (0.5% USP),/apptracker/s/application-public/a102P00000AvPBI,Prophylaxisis of post-operative endophthalmitis (POE) following intra-ocular surgery.,
Naltrexone hydrochloride,/apptracker/s/application-public/a102P000008puVE,Removal of Special Authority,Nervous System
Netupitant/palonosetron,/apptracker/s/application-public/a10OZ0000000WPh,Prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of moderately emetogenic anti-cancer treatments.,
Nivolumab,/apptracker/s/application-public/a102P000008puDw,"Non-small cell lung cancer, locally advanced or metastatic, 2nd line",Oncology Agents and Immunosuppressants
Nivolumab (with ipilimumab and platinum-based chemotherapy),/apptracker/s/application-public/a102P00000BUI9R,"Advanced non-small cell lung cancer, 1st line combination therapy, irrespective of PDL-1 status",
Octreotide LAR,/apptracker/s/application-public/a102P00000BZ6SQ,"polycystic liver disease, symptomatic relief",Alimentary Tract and Metabolism
Pembrolizumab,/apptracker/s/application-public/a102P000008puZ2,"Non small cell lung cancer, locally advanced or metastatic, PD-L1 positive, 2nd line",Oncology Agents and Immunosuppressants
Posaconazole,/apptracker/s/application-public/a102P000008pu8d,Prophylaxis of fungal infection in patients with acute lymphoblastic leukemia,Infections - Agents for Systemic Use
Posaconazole,/apptracker/s/application-public/a102P000008puiu,Prophylaxis of fungal infection in patients with aplastic anaemia,Infections - Agents for Systemic Use
"Pre-thickened fluids, pudding-thick (extremely thick)",/apptracker/s/application-public/a102P000008pu2I,Dysphagia (hospital),Special Foods
"Quadrivalent Influenza virus haemagglutinin, surface antigen, inactivated, prepared in cell cultures",/apptracker/s/application-public/a102P00000BUjqp,Prevention of influenza caused by Influenza Virus Types A and B,
Rituximab,/apptracker/s/application-public/a102P00000BYOiJ,For use in the treatment of people with Class IV(a) lupus nephritis as part of the induction phase of therapy (expanded SA indication),Genito-Urinary System
SMA treatments,/apptracker/s/application-public/a10OZ0000000uVF,People with SMA type IV (aged 19 years and over at symptom onset),
Secura Extra Protective Cream,/apptracker/s/application-public/a102P000008puZU,"Pressure injury prevention, incontinence",Dermatologicals
Sevelamer hydrochloride,/apptracker/s/application-public/a102P000008ptpJ,Hyperphosphataemia in people with chronic kidney disease on dialysis,Genito-Urinary System
"Sunitinib, pazopanib",/apptracker/s/application-public/a102P00000AUfIW,"Renal cell carcinoma (RCC), advanced or metastatic, 2nd line after prior TKI treatment",Oncology Agents and Immunosuppressants
Tislelizumab,/apptracker/s/application-public/a102P00000BTxbA,"Advanced non-small cell lung cancer, 2nd line monotherapy irrespective of PDL-1 status",
Tislelizumab (with platinum-based chemotherapy),/apptracker/s/application-public/a102P00000BTxb5,"Advanced non-small cell lung cancer, 1st line combination therapy, irrespective of PDL-1 status",
"Topical non-steroidal anti-inflammatory drugs (NSAIDs) - Diclofenac, Ibuprofen, Ketoprofen, Piroxicam",/apptracker/s/application-public/a102P000008puNS,Osteoarthritis,Musculoskeletal System
Trastuzumab,/apptracker/s/application-public/a102P000008ptzX,Breast cancer-treatment beyond disease progression,Oncology Agents and Immunosuppressants
"Tyrosine kinase inhibitors (eg. sunitinib, pazopanib)",/apptracker/s/application-public/a102P000008puY1,"Renal cell carcinoma (RCC), advanced or metastatic with a good prognosis",Oncology Agents and Immunosuppressants
Udderly Smooth,/apptracker/s/application-public/a102P000008puSi,Palmar-plantar erythrodysesthesia,Dermatologicals
Vancomycin,/apptracker/s/application-public/a102P000008puM9,infected arthroplasty,Infections - Agents for Systemic Use
tacrolimus prolonged - release capsules,/apptracker/s/application-public/a102P00000BXyQv,Immunosuppresssion for all adolescents and young adults ( 12 - 30 years) living with solid organ transplants in New Zealand.,Oncology Agents and Immunosuppressants
