Id,Name,Applications__c,Brand_Name__c,Chemical_Name__c,Applicants__c,Funding_requested_for__c,Stage__c,Pharmaceutical__c,Community_URL__c,Therapeutic_group__c
a0R2P000000TFeLUAW,Haemophilus influenzae type B vaccine,A-00321,,Haemophilus influenzae type B vaccine,Clinician,Amendments to use after immunosuppression,Decision,Haemophilus influenzae type B vaccine,/apptracker/s/application-public/a102P000008puX7,National Immunisation Schedule
a0ROZ000003nsyP2AQ,Hepatitis A vaccine,A-00213,Hbvaxpro,Hepatitis A vaccine,Clinician,Widened access to at-risk groups,Seeking Clinical Advice,Hepatitis A vaccine (Hbvaxpro),/apptracker/s/application-public/a102P000008pu4n,National Immunisation Schedule
a0ROZ000004CTlW2AW,Hepatitis A vaccine,A-00323,,Hepatitis A vaccine,Clinician,Immunisation of HIV patients,Seeking Clinical Advice,Hepatitis A vaccine,/apptracker/s/application-public/a102P000008puOU,National Immunisation Schedule
a0R2P000000MTXGUA4,Hepatitis A vaccine with hepatitis B vaccine,A-00021,,Hepatitis A vaccine with hepatitis B vaccine,PHARMAC Initiated,Hospital listing,Decision,Hepatitis A vaccine with hepatitis B vaccine,/apptracker/s/application-public/a102P000008puJW,National Immunisation Schedule
a0R2P000000TFUfUAO,Hepatitis B recombinant vaccine,A-00379,,Hepatitis B recombinant vaccine,Subcommittee recommendation,Widening access - non-consensual sexual intercourse or needle stick injury,Decision,Hepatitis B recombinant vaccine,/apptracker/s/application-public/a102P000008ptxV,National Immunisation Schedule
a0R2P000000LmaRUAS,Hepatitis B recombinant vaccine - transplant criteria for HSCT,A-00569,,Hepatitis B recombinant vaccine - transplant criteria for HSCT,To be determined,Hepatitis B,Decision,Hepatitis B recombinant vaccine - transplant criteria for HSCT,/apptracker/s/application-public/a102P000008puRF,National Immunisation Schedule
a0R2P000000LmrjUAC,Hepatitis B vaccine,A-01407,,Hepatitis B vaccine,PHARMAC Initiated,Children who have not achieved a positive serology and require additional vaccination,Decision,Hepatitis B vaccine,/apptracker/s/application-public/a102P000008puKJ,National Immunisation Schedule
a0R2P000000LmerUAC,"htheria, tetanus, pertussis, polio, hepatitis B, and haemophillus type B vaccine",A-01409,Infanrix-hexra,"Diphtheria, tetanus, pertussis, polio, hepatitis B, and haemophillus type B vaccine",PHARMAC Initiated,Widening of ages who have access,Decision,"Diphtheria, tetanus, pertussis, polio, hepatitis B, and haemophillus type B vaccine (Infanrix-hexra)",/apptracker/s/application-public/a102P000008ptpK,National Immunisation Schedule
a0ROZ000005ucHV2AY,Human Papillomavirus 9-valent vaccine,A-05223,Gardasil 9,Human Papillomavirus 9-valent vaccine,Consumer,"widen access to people aged 9 to 45 years, who are living with HIV",Seeking Clinical Advice,Human Papillomavirus 9-valent vaccine (Gardasil 9),/apptracker/s/application-public/a10OZ000002rScv,National Immunisation Schedule
a0R2P000000TFfTUAW,Human Papillomavirus Vaccine (HPV),A-00324,,Human Papillomavirus Vaccine (HPV),Clinician,Immunisation post-chemotherapy,Decision,Human Papillomavirus Vaccine (HPV),/apptracker/s/application-public/a102P000008puZT,National Immunisation Schedule
a0R2P000000LmY9UAK,Human Papillomavirus Vaccine (HPV),A-00545,,Human Papillomavirus Vaccine (HPV),Seqirus,Year 7 girls and boys for HPV; naive males and females up to and including 26 years of age,Decision,Human Papillomavirus Vaccine (HPV),/apptracker/s/application-public/a102P000008puXp,National Immunisation Schedule
a0R2P000000LmmhUAC,Human Papillomavirus Vaccine (HPV),A-01447,,Human Papillomavirus Vaccine (HPV),PHARMAC Initiated,Vaccination for HPV in patients who have HIV infection,Decision,Human Papillomavirus Vaccine (HPV),/apptracker/s/application-public/a102P000008pu1a,National Immunisation Schedule
a0R2P000000LmqHUAS,Human Papillomavirus Vaccine (HPV),A-00229,,Human Papillomavirus Vaccine (HPV),PHARMAC Initiated,Universal vaccination (widening access to males),Decision,Human Papillomavirus Vaccine (HPV),/apptracker/s/application-public/a102P000008puCD,National Immunisation Schedule
a0R2P000000TFg7UAG,Human Papillomavirus Vaccine (HPV),A-01273,HPV vaccine,Human Papillomavirus Vaccine (HPV),PHARMAC Initiated,Vaccination for HPV in males at high risk of oncogenic HPV cancers not protected by current criteria,Decision,Human Papillomavirus Vaccine (HPV) (HPV vaccine),/apptracker/s/application-public/a102P000008puck,National Immunisation Schedule
a0ROZ0000029OYE2A2,Human Papillomavirus Vaccine (HPV),A-00220,Gardisil,Human Papillomavirus Vaccine (HPV),Clinician,"Females aged 18 and 19, and HIV patients aged 25",Decision,Human Papillomavirus Vaccine (HPV) (Gardisil),/apptracker/s/application-public/a102P000008pttO,National Immunisation Schedule
a0R2P000000LmXLUA0,Human papillomavirus vaccine 9-valent,A-00475,,Human papillomavirus vaccine 9-valent,Seqirus,Vaccination for HPV,Decision,Human papillomavirus vaccine 9-valent,/apptracker/s/application-public/a102P000008pty0,National Immunisation Schedule
a0R2P000000anUEUAY,"Inactivated influenza vaccine, adjuvanted (Fluad) 2019",A-00724,,"Inactivated influenza vaccine, adjuvanted (Fluad) 2019",Seqirus,Influenza,Decision,"Inactivated influenza vaccine, adjuvanted (Fluad) 2019",/apptracker/s/application-public/a102P000008ptyX,National Immunisation Schedule
a0ROZ000009J5Zt2AK,"Inactivated quadrivalent influenza vaccine, split virion (high dose)",A-04402,Fluzone High-Dose Quadrivalent,"Inactivated quadrivalent influenza vaccine, split virion (high dose)",Sanofi-Aventis New Zealand Limited,"Given the indication will be for 60 plus, it is proposed to replace SD on the Schedule, for people aged 60 plus who meet the criteria",Seeking Clinical Advice,"Inactivated quadrivalent influenza vaccine, split virion (high dose) (Fluzone High-Dose Quadrivalent)",/apptracker/s/application-public/a102P00000BUk3C,
a0ROZ00000Cn1xD2AR,Inactivated trivalent influenza vaccine prepared in cell cultures (TIVc),A-04379,Flucelvax,Inactivated trivalent influenza vaccine prepared in cell cultures (TIVc),Seqirus,Influenza vaccine for people 6 months to under 65 years of age,Options Compared,Inactivated trivalent influenza vaccine prepared in cell cultures (TIVc) (Flucelvax),/apptracker/s/application-public/a10OZ000003tFaz,National Immunisation Schedule
a0ROZ000007hqPL2AY,Influenza vaccine,A-04303,,Influenza vaccine,Clinician,children aged 5 years or younger,Options Compared,Influenza vaccine,/apptracker/s/application-public/a10OZ000001rzeI,
a0R2P000000LmTyUAK,Influenza vaccine,A-00544,,Influenza vaccine,Clinician,Vaccination of inpatients of long term mental health care,Decision,Influenza vaccine,/apptracker/s/application-public/a102P000008puN1,National Immunisation Schedule
a0R2P000000TFa9UAG,Influenza vaccine,A-00318,,Influenza vaccine,Subcommittee recommendation,Additional at-risk groups,Decision,Influenza vaccine,/apptracker/s/application-public/a102P000008puCr,National Immunisation Schedule
a0ROZ00000AQko22AD,Influenza vaccine,A-04292,,Influenza vaccine,Clinician,Options for widened access - Open listing,Options Compared,Influenza vaccine,/apptracker/s/application-public/a102P00000BRGrN,National Immunisation Schedule
a0ROZ000004CbSv2AK,Influenza vaccine,A-00662,,Influenza vaccine,Clinician,ring protection for high risk group,Decision,Influenza vaccine,/apptracker/s/application-public/a102P000008puEx,National Immunisation Schedule
a0R2P000000LmURUA0,Influenza vaccine,A-01272,,Influenza vaccine,PHARMAC Initiated,Access for children four years or less with severe respiratory illness,Decision,Influenza vaccine,/apptracker/s/application-public/a102P000008puNU,National Immunisation Schedule
a0ROZ00000AQko42AD,Influenza vaccine,A-04303,,Influenza vaccine,Clinician,Children up to 18 years of age - widen access,Options Compared,Influenza vaccine,/apptracker/s/application-public/a102P00000BROGR,National Immunisation Schedule
a0ROZ00000AQko32AD,Influenza vaccine,A-04299,,Influenza vaccine,Clinician,People over 50 years of age -widen access,Options Compared,Influenza vaccine,/apptracker/s/application-public/a102P00000BROFJ,National Immunisation Schedule
a0ROZ000000PXiZ2AW,Influenza vaccine,A-04297,,Influenza vaccine,Clinician,"Maori and Pacific people, 50 to 64 years of age",Options Compared,Influenza vaccine,/apptracker/s/application-public/a102P00000BRODX,National Immunisation Schedule
a0R2P000000YfnhUAC,Influenza Vaccine,A-00783,"Influvac, Influvac Tetra, Fluvax, FluQuadri, Vaxigrip",Influenza Vaccine,Clinician,"influenza in people with serious mental health conditions and addiction (schizophrenia/psychotic disorders, major depression, bipolar and people accessing secondary and tertiary mental health and addiction services)",Decision,"Influenza Vaccine (Influvac, Influvac Tetra, Fluvax, FluQuadri, Vaxigrip)",/apptracker/s/application-public/a102P00000BSYZo,
a0R2P000000YfokUAC,Influenza Vaccine,A-00783,"Afluria Quad, Influvac Tetra, FluQuadri, Fluarix Tetra",Influenza Vaccine,Clinician,"influenza in patients with serious mental health conditions and addiction  (schizophrenia/psychotic disorders, major depression and bipolar)",Decision,"Influenza Vaccine (Afluria Quad, Influvac Tetra, FluQuadri, Fluarix Tetra)",/apptracker/s/application-public/a102P000008pu9F,National Immunisation Schedule
a0R2P000000TFXAUA4,"iphtheria, tetanus, pertussis, polio, hepatitis B and haemophilus type B vaccine",A-00320,,"Diphtheria, tetanus, pertussis, polio, hepatitis B and haemophilus type B vaccine",Subcommittee recommendation,Amendments to use after immunosuppression,Decision,"Diphtheria, tetanus, pertussis, polio, hepatitis B and haemophilus type B vaccine",/apptracker/s/application-public/a102P000008pu4g,National Immunisation Schedule
a0R2P000000ancmUAA,"iphtheria, tetanus, pertussis, polio, hepatitis B and haemophilus type B vaccine",A-01270,Boostrix,"Diphtheria, tetanus, pertussis, polio, hepatitis B and haemophilus type B vaccine",PHARMAC Initiated,Changing pertussis component to a two component vaccine,Decision,"Diphtheria, tetanus, pertussis, polio, hepatitis B and haemophilus type B vaccine (Boostrix)",/apptracker/s/application-public/a102P000008puNb,National Immunisation Schedule
a0R2P000000LmrPUAS,"iphtheria, tetanus, pertussis, polio, hepatitis B and haemophilus type B vaccine",A-00222,,"Diphtheria, tetanus, pertussis, polio, hepatitis B and haemophilus type B vaccine",Clinician,Widening access - increasing age limit to under 10,Decision,"Diphtheria, tetanus, pertussis, polio, hepatitis B and haemophilus type B vaccine",/apptracker/s/application-public/a102P000008puJV,National Immunisation Schedule
a0R2P000000LmnuUAC,"Measles, Mumps And Rubella (MMR) Vaccine",A-00380,,"Measles, Mumps And Rubella (MMR) Vaccine",Subcommittee recommendation,Widening access - extra dose for children whose first dose was before 12 months,Decision,"Measles, Mumps And Rubella (MMR) Vaccine",/apptracker/s/application-public/a102P000008ptrZ,National Immunisation Schedule
a0ROZ00000AEHhZ2AX,"Meningococcal  A, C, Y And W-135 Vaccine",A-00769 A-01526,"Menomune,Neisvac-C","Meningococcal  A, C, Y And W-135 Vaccine","Pharmac Initiated, Te Arai Biofarma",Children 1 year of age,Options Compared,"Meningococcal  A, C, Y And W-135 Vaccine (Menomune,Neisvac-C)",/apptracker/s/application-public/a102P000008ptxX,National Immunisation Schedule
a0ROZ00000AqQQZ2A3,"Meningococcal  A, C, Y And W-135 Vaccine",A-00773 A-01526,"Menomune,Neisvac-C","Meningococcal  A, C, Y And W-135 Vaccine","Pharmac Initiated, Te Arai Biofarma","Young people aged 13 to 21 years, ongoing vaccination at 14 years of age",Options Compared,"Meningococcal  A, C, Y And W-135 Vaccine (Menomune,Neisvac-C)",/apptracker/s/application-public/a102P000008puDK,National Immunisation Schedule
a0ROZ00000AqQQY2A3,"Meningococcal  A, C, Y And W-135 Vaccine",A-00770 A-01526,"Menomune,Neisvac-C","Meningococcal  A, C, Y And W-135 Vaccine","Pharmac Initiated, Te Arai Biofarma",Children aged 1 to 4 years,Options Compared,"Meningococcal  A, C, Y And W-135 Vaccine (Menomune,Neisvac-C)",/apptracker/s/application-public/a102P000008pu9d,National Immunisation Schedule
a0ROZ000003doXt2AI,"Meningococcal  A, C, Y And W-135 Vaccine,Meningococcal C Congugated Vaccine",A-00774 A-01526,"Menomune,Neisvac-C","Meningococcal  A, C, Y And W-135 Vaccine,Meningococcal C Congugated Vaccine","Pharmac Initiated, Te Arai Biofarma",Adolescent entrants to close living situations 13 to 25 years (no catchup),Decision,"Meningococcal  A, C, Y And W-135 Vaccine,Meningococcal C Congugated Vaccine (Menomune,Neisvac-C)",/apptracker/s/application-public/a102P000008pttz,National Immunisation Schedule
a0ROZ0000006gW12AI,"Meningococcal  A, C, Y And W-135 Vaccine,Meningococcal C Congugated Vaccine",A-00775 A-01526,"Menomune,Neisvac-C","Meningococcal  A, C, Y And W-135 Vaccine,Meningococcal C Congugated Vaccine","PHARMAC Initiated, Te Arai Biofarma",Entrants & 1-year catchup close living 13 to 25 years,Decision,"Meningococcal  A, C, Y And W-135 Vaccine,Meningococcal C Congugated Vaccine (Menomune,Neisvac-C)",/apptracker/s/application-public/a102P000008ptqm,National Immunisation Schedule
a0R2P000000daLJUAY,"Meningococcal A, C, W and Y conjugate vaccine",A-04258,MenQuadfi®,"Meningococcal A, C, W and Y conjugate vaccine",Sanofi-Aventis New Zealand Limited,"Immunisation against N meningitidis Groups A, C, W and Y (replacement for currently funded Menactra)",Decision,"Meningococcal A, C, W and Y conjugate vaccine (MenQuadfi®)",/apptracker/s/application-public/a102P00000BQGwp,National Immunisation Schedule
a0ROZ00000AqQQW2A3,"Meningococcal A, C, Y And W-135 Vaccine",A-00771 A-01526,"Menomune,Neisvac-C","Meningococcal A, C, Y And W-135 Vaccine","Pharmac Initiated, Te Arai Biofarma",Adolescents at 14 years of age,Options Compared,"Meningococcal A, C, Y And W-135 Vaccine (Menomune,Neisvac-C)",/apptracker/s/application-public/a102P000008ptzk,National Immunisation Schedule
a0ROZ00000AqQQX2A3,"Meningococcal A, C, Y And W-135 Vaccine",A-00772 A-01526,"Menomune,Neisvac-C","Meningococcal A, C, Y And W-135 Vaccine","Pharmac Initiated, Te Arai Biofarma","Young people aged 5 to 21 years, ongoing vaccination at 14 years of age",Options Compared,"Meningococcal A, C, Y And W-135 Vaccine (Menomune,Neisvac-C)",/apptracker/s/application-public/a102P000008pu50,National Immunisation Schedule
a0R2P000000TFU1UAO,Meningococcal C-containing conjugate vaccines,A-00325,Neisvac-C,Meningococcal C-containing conjugate vaccines,Clinician,Dosage amendment for certain patient groups,Decision,Meningococcal C-containing conjugate vaccines (Neisvac-C),/apptracker/s/application-public/a102P000008ptx5,National Immunisation Schedule
a0R2P000000LmhaUAC,Meningococcal conjugate vaccines,A-01269,Meningococcal conjugated vaccine,Meningococcal conjugate vaccines,PHARMAC Initiated,Vaccine against meningitis (for various subgroups),Decision,Meningococcal conjugate vaccines (Meningococcal conjugated vaccine),/apptracker/s/application-public/a102P000008puEE,National Immunisation Schedule
a0ROZ00000CZxxZ2AT,"Meningococcal group A,C,W and Y vaccine",A-00775,,"Meningococcal group A,C,W and Y vaccine",Pharmac Initiated,"Invasive meningococcal disease, widened access to current close living situations for people 13-25 years old",Seeking Clinical Advice,"Meningococcal group A,C,W and Y vaccine",/apptracker/s/application-public/a10OZ000000auoT,
a0ROZ00000CWbC12AL,Meningococcal group B vaccine,A-00766,,Meningococcal group B vaccine,Pharmac Initiated,"Invasive meningococcal disease, widened access to current close living situations for people 13-25 years old",Seeking Clinical Advice,Meningococcal group B vaccine,/apptracker/s/application-public/a10OZ000000aui1,
a0R2P000000T5m6UAC,Meningococcal group B vaccine - Invasive meningococcal disease,A-00767,,Meningococcal group B vaccine - Invasive meningococcal disease,PHARMAC Initiated,High risk immuno-compromised patients,Decision,Meningococcal group B vaccine - Invasive meningococcal disease,/apptracker/s/application-public/a102P000008pttp,National Immunisation Schedule
a0ROZ00000BVkl22AD,Meningococcal group B vaccine - Invasive meningococcal disease,A-04686,Bexsero,Meningococcal group B vaccine - Invasive meningococcal disease,Consumer,All adolescents 13-25 years,Reviewing Consultation Feedback,Meningococcal group B vaccine - Invasive meningococcal disease (Bexsero),/apptracker/s/application-public/a10OZ0000000NB7,
a0R2P000000cHpJUAU,Meningococcal group B vaccine - Invasive meningococcal disease,A-00764,,Meningococcal group B vaccine - Invasive meningococcal disease,PHARMAC Initiated,Entrants to close living situations  (13 to 25 years) - no catchup,Decision,Meningococcal group B vaccine - Invasive meningococcal disease,/apptracker/s/application-public/a102P000008ptpy,National Immunisation Schedule
a0R2P000000da0VUAQ,Meningococcal group B vaccine - Invasive meningococcal disease,A-00766,,Meningococcal group B vaccine - Invasive meningococcal disease,PHARMAC Initiated,Entrants to close living situations and one-year catch-up  (13 to 25 years),Decision,Meningococcal group B vaccine - Invasive meningococcal disease,/apptracker/s/application-public/a102P000008pucI,National Immunisation Schedule
a0R2P000000T5mkUAC,Meningococcal group B vaccine - Invasive meningococcal disease,A-00768,,Meningococcal group B vaccine - Invasive meningococcal disease,PHARMAC Initiated,Contacts of cases,Decision,Meningococcal group B vaccine - Invasive meningococcal disease,/apptracker/s/application-public/a102P000008pu4Q,National Immunisation Schedule
a0R2P000000dZwOUAU,Meningococcal group B vaccine - Invasive meningococcal disease: Infant (2+1),A-00763,,Meningococcal group B vaccine - Invasive meningococcal disease: Infant (2+1),GlaxoSmithKline,Infant Schedule (2+1 dosing),Decision,Meningococcal group B vaccine - Invasive meningococcal disease: Infant (2+1),/apptracker/s/application-public/a102P000008ptux,National Immunisation Schedule
a0R2P000000LmZYUA0,Meningococcal vaccines,A-00218,,Meningococcal vaccines,Clinician,Widening access - HIV; pre-solid organ transplant; severely immunocomp. under 26yrs; complement def.,Decision,Meningococcal vaccines,/apptracker/s/application-public/a102P000008puTY,National Immunisation Schedule
a0R2P000000anRaUAI,MMR vaccine,A-01298,,MMR vaccine,PHARMAC Initiated,"Vaccine against measles, mumps, and rubella, changing age at when vaccine is given",Decision,MMR vaccine,/apptracker/s/application-public/a102P000008ptvA,National Immunisation Schedule
a0R2P000000Lmd8UAC,Pertussis vaccine,A-00543 A-00542,,Pertussis vaccine,"Subcommittee recommendation, Clinician",Parents of infants born at 28 weeks or less or infants admitted to NICU or SCBU for a minimum stay.,Decision,Pertussis vaccine,/apptracker/s/application-public/a102P000008pu7c,National Immunisation Schedule
a0ROZ00000AqQQm2AN,Pertussis-containing vaccine,A-05329,,Pertussis-containing vaccine,Clinician,Additional dose of pertussis-containing vaccine in the second year of life: Widening access ,Options Compared,Pertussis-containing vaccine,/apptracker/s/application-public/a10OZ000003t4vh,National Immunisation Schedule
a0ROZ000006xL4z2AE,Pneumococcal (PCV13) vaccine,A-00390,,Pneumococcal (PCV13) vaccine,Pfizer,Immunisation of adults over 65 years,Decision,Pneumococcal (PCV13) vaccine,/apptracker/s/application-public/a102P000008puBZ,National Immunisation Schedule
a0R2P000000TFe6UAG,Pneumococcal (PCV13) vaccine,A-00326,,Pneumococcal (PCV13) vaccine,Clinician,Immunisation of additional groups,Decision,Pneumococcal (PCV13) vaccine,/apptracker/s/application-public/a102P000008puWY,National Immunisation Schedule
a0ROZ00000DabMX2AZ,Pneumococcal 21-valent conjugate vaccine,A-05374,CAPVAXIVE,Pneumococcal 21-valent conjugate vaccine,MERCK SHARP & DOHME (NEW ZEALAND) LIMITED,Prevention of Invasive Pneumococcal Disease in high-risk adults,Under Assessment,Pneumococcal 21-valent conjugate vaccine (CAPVAXIVE),/apptracker/s/application-public/a10OZ000004OFtF,National Immunisation Schedule
a0ROZ00000Dab812AB,Pneumococcal 21-valent conjugate vaccine,A-05374,CAPVAXIVE,Pneumococcal 21-valent conjugate vaccine,MERCK SHARP & DOHME (NEW ZEALAND) LIMITED,Prevention of Invasive Pneumococcal Disease in all adults aged 65 years and over,Under Assessment,Pneumococcal 21-valent conjugate vaccine (CAPVAXIVE),/apptracker/s/application-public/a10OZ000005Gy8b,National Immunisation Schedule
a0ROZ0000070OZN2A2,Pneumococcal conjugate vaccine (PCV13),A-05095,,Pneumococcal conjugate vaccine (PCV13),Clinician,"Individuals who have had invasive pneumococcal disease, secondary prophylaxis",Under Assessment,Pneumococcal conjugate vaccine (PCV13),/apptracker/s/application-public/a10OZ000001nwWv,
a0ROZ0000070PLl2AM,Pneumococcal conjugate vaccine (PCV13),A-05089,,Pneumococcal conjugate vaccine (PCV13),Clinician,Non-cystic fibrosis bronchiectasis,Under Assessment,Pneumococcal conjugate vaccine (PCV13),/apptracker/s/application-public/a10OZ000001rCGz,
a0ROZ00000BcrzU2AR,"Pneumococcal polysaccharide conjugate vaccine, 20-valent",A-05408,Prevenar 20,"Pneumococcal polysaccharide conjugate vaccine, 20-valent",PFIZER NEW ZEALAND LIMITED,Prevention of invasive pneumococcal disease,Seeking Clinical Advice,"Pneumococcal polysaccharide conjugate vaccine, 20-valent (Prevenar 20)",/apptracker/s/application-public/a10OZ000004yfM9,
a0ROZ000006xLL72AM,Pneumococcal polysaccharide vaccine,A-01523 A-03030,,Pneumococcal polysaccharide vaccine,"Merck Sharp & Dohme, MERCK SHARP & DOHME (NEW ZEALAND) LIMITED",Immunisation of over-65s,Decision,Pneumococcal polysaccharide vaccine,/apptracker/s/application-public/a102P000008ptpI,National Immunisation Schedule
a0ROZ0000070NAK2A2,Pneumococcal polysaccharide vaccine (PPV23),A-05095,,Pneumococcal polysaccharide vaccine (PPV23),Clinician,"Individuals who have had invasive pneumococcal disease, secondary prophylaxis",Under Assessment,Pneumococcal polysaccharide vaccine (PPV23),/apptracker/s/application-public/a10OZ000001rAiD,
a0ROZ0000070KFg2AM,Pneumococcal polysaccharide vaccine (PPV23),A-05089,,Pneumococcal polysaccharide vaccine (PPV23),Clinician,Non-cystic fibrosis bronchiectasis,Under Assessment,Pneumococcal polysaccharide vaccine (PPV23),/apptracker/s/application-public/a10OZ000001rCFN,
a0R2P000000anVWUAY,Pneumococcal vaccine,A-00518,,Pneumococcal vaccine,To be determined,People with rheumatological conditions on biologic treatments,Decision,Pneumococcal vaccine,/apptracker/s/application-public/a102P000008pu19,National Immunisation Schedule
a0R2P000000anZtUAI,Pneumococcal vaccine,A-00570,,Pneumococcal vaccine,Clinician,Prevention of pneumococcal diseases in individuals with neuromuscular conditions,Decision,Pneumococcal vaccine,/apptracker/s/application-public/a102P000008puIw,National Immunisation Schedule
a0R2P000000ane9UAA,Pneumococcal vaccine - Pneumovax 23,A-00736,,Pneumococcal vaccine - Pneumovax 23,Clinician,Individuals with untreated chronic lymphocytic leukaemia/small lymphocytic lymphoma (CLL/SLL).,Decision,Pneumococcal vaccine - Pneumovax 23,/apptracker/s/application-public/a102P000008puTh,National Immunisation Schedule
a0R2P000000LmZ4UAK,Pneumococcal vaccine (PCV 13),A-01274,Pneumococcal vaccine (PCV 13),Pneumococcal vaccine (PCV 13),PHARMAC Initiated,Prevention of pneumococcal disease vaccine for infants,Decision,Pneumococcal vaccine (PCV 13) (Pneumococcal vaccine (PCV 13)),/apptracker/s/application-public/a102P000008puV6,National Immunisation Schedule
a0ROZ000000B1wr2AC,Pneumococcal vaccine (PCV13),A-01274,Pneumococcal vaccine (PCV 13),Pneumococcal vaccine (PCV13),PHARMAC Initiated,"Prevention of IPD, supplemental dose, individuals aged 12 to 59 months",Options Compared,Pneumococcal vaccine (PCV13) (Pneumococcal vaccine (PCV 13)),/apptracker/s/application-public/a102P00000BZUOn,National Immunisation Schedule
a0R2P000000LmYNUA0,Pneumococcal vaccine (PCV13),A-00217,,Pneumococcal vaccine (PCV13),Clinician,Widening access - patients with HIV,Decision,Pneumococcal vaccine (PCV13),/apptracker/s/application-public/a102P000008puUe,National Immunisation Schedule
a0R2P000000LmV6UAK,Poliomyelitis vaccine,A-00219,,Poliomyelitis vaccine,Clinician,Widening access - partially vaccinated individuals,Decision,Poliomyelitis vaccine,/apptracker/s/application-public/a102P000008ptvk,National Immunisation Schedule
a0ROZ00000882EX2AY,Recombinant Zoster Vaccine,A-04290,SHINGRIX,Recombinant Zoster Vaccine,GLAXOSMITHKLINE NZ LIMITED,Māori and Pacific people aged 60 years and over for the prevention of herpes zoster and post-herpetic neuralgia,Options Compared,Recombinant Zoster Vaccine (SHINGRIX),/apptracker/s/application-public/a102P00000BUKoR,
