Id,Name,Applications__c,Brand_Name__c,Chemical_Name__c,Applicants__c,Funding_requested_for__c,Stage__c,Pharmaceutical__c,Community_URL__c,Therapeutic_group__c,Application Received date,Last Update date,Days elapsed between application and last update,Days until Seeking Clinical Advice,Days until Under Assessment,Days until Options Compared,Days until Under Consultation,Days until Reviewing Consultation Feedback,Days until Decision,Application Received dates,Seeking Clinical Advice dates,Under Assessment dates,Options Compared dates,Under Consultation dates,Reviewing Consultation Feedback dates,Decision dates,Outcome__c,Summary__c,FDA_ApprovalDate,TGA_ApprovalDate,MedSafe_ApprovalDate
a0ROZ000004CWGL2A4,Miglustat,A-01006,Zavesca,Miglustat,Actelion,Gaucher disease - type 1 (mild to moderate),Decision,Miglustat (Zavesca),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puLv,Alimentary Tract and Metabolism,2010-08-17 00:00:00,2024-07-24 00:00:00,5090,0,92,365,4413,62,151,2010-08-17:Application received,"2010-08-01:Clinical advice required
2010-11-04:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 4 November 2010.",2010-11-01:Working to compare options,"2011-11-01:The relative ranking of the pharmaceutical application has been completed.
2019-04-16:The relative ranking of the pharmaceutical application has been completed.",2023-12-18:Public consultation for this application is active.,2024-02-12:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2024-07-24:The funding application has been declined.,Low,,2003-07-31,2007-10-23,2009-05-14
a0R2P000000LmoYUAS,Ivermectin,A-01026,Stromectol,Ivermectin,Clinician,Scabies - institutional encrusted,Decision,Ivermectin (Stromectol),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptsp,Dermatologicals,2010-09-01 00:00:00,2012-07-01 00:00:00,669,91,62,455,31,,30,2010-09-01:Application received,"2010-12-01:Clinical advice required
2011-02-17:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 17 February 2011.
2012-02-22:Clinical advice received from Anti-Infective Subcommittee at meeting Wednesday 22 February 2012.
2012-05-10:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 10 May 2012.",2011-02-01:Working to compare options,2012-05-01:The relative ranking of the pharmaceutical application has been completed.,2012-06-15:Public consultation for this application is active.,,2012-07-01:The funding application has been Approved.,Recommended for funding with no priority; High; High,,1996-11-22,2011-05-13,2005-08-18
a0R2P000000LmrRUAS,Mycophenolate mofetil,A-01079,,Mycophenolate mofetil,Clinician,Vasculitis - maintenance therapy,Decision,Mycophenolate mofetil,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puFj,Oncology Agents and Immunosuppressants,2010-10-01 00:00:00,2014-08-14 00:00:00,1413,0,,1127,,,273,2010-10-01:Application received,"2010-10-01:Clinical advice required
2011-05-05:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 5 May 2011.",,2013-11-05:The relative ranking of the pharmaceutical application has been completed.,,,2014-08-14:The funding application has been Approved.,Decline,The restrictions on mycophenolate capsules and tablets have been entirely removed in both Section B and Section H from 1 October 2014. Thus this proposal has now effectively been funded.,1995-05-03,1999-11-02,
a0R2P000000LmdrUAC,Mycophenolate mofetil,A-01078,Myaccord,Mycophenolate mofetil,Clinician,Lupus nephritis - maintenance therapy,Decision,Mycophenolate mofetil (Myaccord),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pttK,Oncology Agents and Immunosuppressants,2010-10-01 00:00:00,2014-08-14 00:00:00,1413,0,,1127,,,273,2010-10-01:Application received,"2010-10-01:Clinical advice required
2011-05-05:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 5 May 2011.",,2013-11-05:The relative ranking of the pharmaceutical application has been completed.,,,2014-08-14:The funding application has been Approved.,Decline,The restrictions on mycophenolate capsules and tablets have been entirely removed in both Section B and Section H from 1 October 2014. Thus this proposal has now effectively been funded.,1995-05-03,1999-11-02,2009-10-22
a0R2P000000LmhRUAS,Mycophenolate mofetil,A-01056,,Mycophenolate mofetil,Clinician,Vasculitis - induction treatment,Decision,Mycophenolate mofetil,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pu5h,Oncology Agents and Immunosuppressants,2010-10-01 00:00:00,2014-08-14 00:00:00,1413,0,212,184,,,1004,2010-10-01:Application received,"2010-10-01:Clinical advice required
2011-05-05:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 5 May 2011.
2011-10-14:Clinical advice received from Rheumatology Subcommittee at meeting Friday 14 October 2011.
2012-02-01:Clinical advice required
2012-05-10:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 10 May 2012.",2011-05-01:Working to compare options,"2011-11-01:The relative ranking of the pharmaceutical application has been completed.
2012-05-01:The relative ranking of the pharmaceutical application has been completed.",,,2014-08-14:The funding application has been Approved.,Low; Recommended alteration to access criteria; High,The restrictions on mycophenolate capsules and tablets have been entirely removed in both Section B and Section H from 1 October 2014. Thus this proposal has now effectively been funded.,1995-05-03,1999-11-02,
a0ROZ000009J4An2AK,Clodronate,A-01029,,Clodronate,Clinician,Osteoradionecrosis,Decision,Clodronate,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptrX,Musculoskeletal System,2010-10-01 00:00:00,2025-06-17 00:00:00,5373,123,0,0,3225,31,1978,2010-10-01:Application received,"2011-02-17:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 17 February 2011.
2022-10-21:Assigned to Pharmacology and Therapeutics Advisory Committee (PTAC) meeting to provide advice on Thursday 17 November 2022
2023-03-20:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 17 November 2022.","2011-02-01:Working to compare options
2023-07-19:Working to compare options","2011-02-14:The relative ranking of the pharmaceutical application has been completed.
2018-12-04:The relative ranking of the pharmaceutical application has been completed.
2023-09-08:The relative ranking of the pharmaceutical application has been completed.","2019-12-17:Public consultation for this application is active.
2024-10-17:Public consultation for this application is active.","2020-01-31:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.
2024-11-30:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.",2025-06-17:The funding application has been declined.,Decline; Decline,,,,
a0ROZ00000BHvwP2AT,"Tyrosine kinase inhibitors (eg. sunitinib, pazopanib)",A-01045 A-03507,,"Tyrosine kinase inhibitors (eg. sunitinib, pazopanib)","Pharmac Initiated, Clinician","Renal cell carcinoma (RCC), advanced or metastatic with a good prognosis",Decision,"Tyrosine kinase inhibitors (eg. sunitinib, pazopanib)",https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puY1,Oncology Agents and Immunosuppressants,2010-10-10 00:00:00,2025-01-17 00:00:00,5213,31,3773,-2677,3895,0,184,2010-10-10:Application received,"2010-11-01:Clinical advice required
2010-11-19:Clinical advice received from Cancer Treatments Subcommittee (CaTSoP) at meeting Friday 19 November 2010.
2011-02-17:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 17 February 2011.
2020-09-18:Clinical advice required
2020-09-21:Assigned to Cancer Treatments Subcommittee (CaTSoP) meeting to provide advice on Friday 16 October 2020
2020-09-22:Assigned to Cancer Treatments Subcommittee (CaTSoP) meeting to provide advice on Friday 16 October 2020
2021-02-25:Clinical advice received from Cancer Treatments Subcommittee (CaTSoP) at meeting Friday 16 October 2020.",2021-03-28:Working to compare options,"2013-11-05:The relative ranking of the pharmaceutical application has been completed.
2020-08-19:Received Additional Information",2024-07-12:Public consultation for this application is active.,2024-07-29:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2025-01-17:The funding application has been approved.,Decline; Decline; High,"Received clinician application for widened access; <p><a href=""https://www.pharmac.govt.nz/news-and-resources/consultations-and-decisions/decision-to-widen-access-to-sunitinib-for-kidney-cancer-and-change-the-funded-brand"" target=""_blank"">Notification</a></p>",1979-10-03,,2006-10-26
a0R2P000000LmogUAC,Tiotropium bromide,A-01053,Spiriva,Tiotropium bromide,Boehringer Ingelheim,COPD widening of access - amending Special Authority,Decision,Tiotropium bromide (Spiriva),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptrv,Respiratory System and Allergies,2010-11-01 00:00:00,2012-04-01 00:00:00,517,30,,335,,,152,2010-11-01:Application received,"2010-12-01:Clinical advice required
2011-02-17:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 17 February 2011.
2011-08-01:Received Additional Information
2011-08-01:Clinical advice required
2011-11-10:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 10 November 2011.",,2011-11-01:The relative ranking of the pharmaceutical application has been completed.,,,2012-04-01:The funding application has been Approved.,Decline; Medium,,2004-01-30,2002-05-30,2001-10-18
a0R2P000000LmrfUAC,Bortezomib,A-01030,Velcade,Bortezomib,PHARMAC Initiated,Multiple myeloma-Bridge to transplant,Decision,Bortezomib (Velcade),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puGe,Oncology Agents and Immunosuppressants,2010-11-01 00:00:00,2011-03-01 00:00:00,120,0,,30,0,,90,2010-11-01:Application received,"2010-11-01:Clinical advice required
2010-11-19:Clinical advice received from Cancer Treatments Subcommittee (CaTSoP) at meeting Friday 19 November 2010.
2011-02-17:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 17 February 2011.",,"2010-12-01:The relative ranking of the pharmaceutical application has been completed.
2011-01-01:The relative ranking of the pharmaceutical application has been completed.","2010-12-01:Public consultation for this application is active.
2011-01-01:Public consultation for this application is active.",,2011-03-01:The funding application has been Approved.,High; High,,2003-05-13,2006-02-14,2006-01-26
a0R2P000000N6iRUAS,Imiglucerase,A-01075,Cerezyme,Imiglucerase,Clinician,Gaucher disease - type 3,Decision,Imiglucerase (Cerezyme),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pugF,Alimentary Tract and Metabolism,2010-11-01 00:00:00,2013-07-01 00:00:00,973,0,273,92,578,0,30,2010-11-01:Application received,"2010-11-04:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 4 November 2010.
2011-08-11:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 11 August 2011.
2020-09-24:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 4 November 2010.",2011-08-01:Working to compare options,2011-11-01:The relative ranking of the pharmaceutical application has been completed.,2013-06-26:Public consultation for this application is active.,2013-06-27:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-07-01:The funding application has been approved.,Deferred; High; Deferred,,1994-05-23,2000-07-04,2010-01-14
a0R2P000000anfbUAA,"Oral Iron Chelators - Deferasirox, Deferiprone",A-01038,"Exjade,Ferriprox","Oral Iron Chelators - Deferasirox, Deferiprone",Clinician,Transfusional iron overload secondary to stem cell transplants and myelodysplasia,Decision,"Oral Iron Chelators - Deferasirox, Deferiprone (Exjade,Ferriprox)",https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pug3,Blood and Blood Forming Organs,2010-11-01 00:00:00,2022-02-04 00:00:00,4113,0,,1096,2769,61,184,2010-11-01:Application received,"2010-11-01:Clinical advice required
2010-11-19:Clinical advice received from Cancer Treatments Subcommittee (CaTSoP) at meeting Friday 19 November 2010.
2011-02-17:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 17 February 2011.",,2013-11-05:The relative ranking of the pharmaceutical application has been completed.,2021-06-29:Public consultation for this application is active.,2021-08-02:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2022-02-04:The funding application has been declined.,Decline; Decline,,2005-11-02,,2009-05-21
a0R2P000000LmUQUA0,Deferiprone,A-01037,"Exjade,Ferriprox",Deferiprone,Clinician,Acquired red cell aplasia,Decision,"Deferiprone (Exjade,Ferriprox)",https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puNT,Blood and Blood Forming Organs,2010-11-01 00:00:00,2014-08-14 00:00:00,1382,0,0,943,395,31,0,2010-11-01:Application received,"2010-11-01:Clinical advice required
2010-11-19:Clinical advice received from Cancer Treatments Subcommittee (CaTSoP) at meeting Friday 19 November 2010.
2011-02-17:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 17 February 2011.",2010-11-01:Working to compare options,2013-06-01:The relative ranking of the pharmaceutical application has been completed.,2014-07-25:Public consultation for this application is active.,2014-08-08:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2014-08-14:The funding application has been Approved.,Medium; Medium,Amends access in Section B and in Section H to deferiprone from 1 October 2014 to allow access where a patients has acquired red cell aplasia.,2011-10-14,2003-04-09,2009-05-21
a0R2P000000LmdkUAC,Mycophenolate mofetil,A-01033,Myaccord,Mycophenolate mofetil,Clinician,Lupus nephritis - induction treatment,Decision,Mycophenolate mofetil (Myaccord),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pu3w,Oncology Agents and Immunosuppressants,2010-11-23 00:00:00,2014-08-14 00:00:00,1360,120,61,184,,,1004,2010-11-23:Application received,"2011-03-09:Clinical advice required
2011-05-05:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 5 May 2011.
2011-10-14:Clinical advice received from Rheumatology Subcommittee at meeting Friday 14 October 2011.
2012-02-01:Clinical advice required
2012-05-10:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 10 May 2012.",2011-05-01:Working to compare options,"2011-11-01:The relative ranking of the pharmaceutical application has been completed.
2012-05-01:The relative ranking of the pharmaceutical application has been completed.",,,2014-08-14:The funding application has been Approved.,High; Recommended alteration to access criteria; High,The restrictions on mycophenolate capsules and tablets have been entirely removed in both Section B and Section H from 1 October 2014.  Thus this proposal has now effectively been funded.,1995-05-03,1999-11-02,2009-10-22
a0ROZ0000006L092AE,Trastuzumab,A-01031,,Trastuzumab,Roche,"Gastric cancer, locally advanced or metastatic, HER2 positive",Decision,Trastuzumab,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptrO,Oncology Agents and Immunosuppressants,2010-11-26 00:00:00,2023-08-23 00:00:00,4653,30,4414,-3348,1977,30,1553,2010-11-26:Application received,"2010-12-01:Clinical advice required
2011-02-17:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 17 February 2011.
2011-04-15:Clinical advice received from Cancer Treatments Subcommittee (CaTSoP) at meeting Friday 15 April 2011.
2011-08-01:Clinical advice required
2011-08-11:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 11 August 2011.
2011-08-26:Clinical advice received from Cancer Treatments Subcommittee (CaTSoP) at meeting Friday 26 August 2011.
2011-11-10:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 10 November 2011.
2022-06-24:Clinical advice required
2022-09-30:Assigned to Cancer Treatments Advisory Committee meeting to provide advice on Friday 28 October 2022
2023-05-22:Clinical advice received from Cancer Treatments Advisory Committee at meeting Friday 28 October 2022.",2023-01-24:Working to compare options,"2013-11-05:The relative ranking of the pharmaceutical application has been completed.
2023-01-25:The relative ranking of the pharmaceutical application has been completed.","2019-04-30:Public consultation for this application is active.
2023-06-08:Public consultation for this application is active.","2019-05-21:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.
2023-07-02:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.",2023-08-23:The funding application has been approved.,Low; Decline; Decline; Decline; Decline; High,"<p><span style=""color: rgb(68, 68, 68);"">Proposal to decline inactive applications - To help make our decision-making process clearer, we are seeking feedback on a proposal for PHARMAC to make decisions to decline funding applications for 8 medicines.</span></p>; <p><span style=""color: rgb(68, 68, 68);"">We are seeking feedback on a proposal to widen funded access to intravenous trastuzumab to include gastric cancer, as part of a transition to a biosimilar brand of intravenous trastuzumab. Feedback can be submitted to </span><a href=""mailto:consult@pharmac.govt.nz"" target=""_blank"" style=""background-color: rgb(255, 255, 255);"">consult@pharmac.govt.nz</a><span style=""color: rgb(68, 68, 68);""> until 4 pm, 30 June 2023.</span></p>; <p>This application was originally declined in 2019. You can <a href=""https://pharmac.govt.nz/news-and-resources/consultations-and-decisions/decision-to-decline-inactive-medicines-funding-applications/"" target=""_blank"">read about this decision here.</a></p><p><br></p><p>We reassessed the application after feedback from consumer groups and healthcare professionals. Access will now be widened from 1 December 2023.</p>",1998-09-25,2013-09-03,2009-09-03
a0R2P000000LmWaUAK,Lapatinib,A-01032,tykerb,Lapatinib,GlaxoSmithKline,Breast cancer - first line metastatic HER2 positive breast cancer,Decision,Lapatinib (tykerb),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptzW,Oncology Agents and Immunosuppressants,2010-11-29 00:00:00,2012-02-01 00:00:00,429,0,,151,275,,31,2010-11-29:Application received,"2010-11-29:Clinical advice required
2011-02-17:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 17 February 2011.
2011-04-15:Clinical advice required
2011-04-15:Clinical advice received from Cancer Treatments Subcommittee (CaTSoP) at meeting Friday 15 April 2011.",,2011-04-01:The relative ranking of the pharmaceutical application has been completed.,2012-01-01:Public consultation for this application is active.,,2012-02-01:The funding application has been Approved.,Medium; Cost Neutral,,2007-03-13,2007-06-28,2012-01-12
a0R2P000000LmfxUAC,Docetaxel,A-01034,Docetaxel Ebewe,Docetaxel,Clinician,Prostate Cancer- metastatic castration resistant,Decision,Docetaxel (Docetaxel Ebewe),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptpg,Oncology Agents and Immunosuppressants,2010-11-29 00:00:00,2011-06-01 00:00:00,184,30,62,,89,31,0,2010-11-29:Application received,"2010-12-01:Clinical advice required
2011-02-17:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 17 February 2011.",2011-02-01:Working to compare options,,2011-05-20:Public consultation for this application is active.,2011-06-03:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2011-06-01:The funding application has been Approved.,Low,,1996-05-14,2010-12-06,2008-11-27
a0R2P000000OZ3jUAG,Diazoxide capsules 50 mg,A-01386,,Diazoxide capsules 50 mg,PHARMAC Initiated,Hyperglycaemic agent,Decision,Diazoxide capsules 50 mg,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptym,Alimentary Tract and Metabolism,2011-01-01 00:00:00,2013-03-19 00:00:00,808,212,,,458,30,90,2011-01-01:Application received,"2011-08-02:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 2 August 2011.
2012-08-02:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 2 August 2012.",,,2012-11-19:Public consultation for this application is active.,2012-12-03:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-03-19:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),The consultation document proposed that 50 mg diazoxide capsules not be listed in Section H at this time and noted that this would not prevent it from being considered for inclusion at a later date.,1973-01-22,1991-10-08,1970-05-14
a0R2P000000MTXGUA4,Hepatitis A vaccine with hepatitis B vaccine,A-00021,,Hepatitis A vaccine with hepatitis B vaccine,PHARMAC Initiated,Hospital listing,Decision,Hepatitis A vaccine with hepatitis B vaccine,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008puJW,National Immunisation Schedule,2011-01-01 00:00:00,2013-05-16 00:00:00,866,456,306,0,0,28,61,2011-01-01:Application received,"2012-04-03:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 3 April 2012.
2013-02-14:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 14 February 2013.",2013-02-15:Working to compare options,2013-02-18:The relative ranking of the pharmaceutical application has been completed.,2013-02-25:Public consultation for this application is active.,2013-03-28:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-05-16:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),"The Subcommittee recommended that, as hepatitis A vaccine with hepatitis B vaccine is not included in the Immunisation Schedule, and as it does not have a niche use in hospitals, it not be included in a national PML.",,1997-01-08,1982-07-08
a0R2P000000MQsvUAG,Cefradine,A-01465,,Cefradine,PHARMAC Initiated,Anti-infection,Decision,Cefradine,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptxn,Infections - Agents for Systemic Use,2011-01-01 00:00:00,2013-03-19 00:00:00,808,151,427,0,31,30,151,2011-01-01:Application received,"2011-06-07:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 7 June 2011.
2012-08-02:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 2 August 2012.",2012-08-03:Working to compare options,2012-08-06:The relative ranking of the pharmaceutical application has been completed.,2012-09-25:Public consultation for this application is active.,2012-10-29:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-03-19:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML),"&#39;The Subcommittee noted that [cefradine is] not widely used in DHB hospitals, and recommended that [it] not be included in a national PML&#39;.",1974-08-19,,1973-09-13
a0R2P000000MwRyUAK,Homatropine Hydrobromide,A-00023,Isopto Homatropine,Homatropine Hydrobromide,PHARMAC Initiated,Hospital listing,Decision,Homatropine Hydrobromide (Isopto Homatropine),https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008ptxa,Sensory Organs,2011-01-01 00:00:00,2013-03-19 00:00:00,808,181,397,0,31,30,151,2011-01-01:Application received,"2011-07-05:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 5 July 2011.
2012-03-09:Clinical advice received from Ophthalmology Subcommittee at meeting Friday 9 March 2012.
2012-08-02:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 2 August 2012.
2020-08-25:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 5 July 2011.",2012-08-03:Working to compare options,2012-08-06:The relative ranking of the pharmaceutical application has been completed.,2012-09-25:Public consultation for this application is active.,2012-10-29:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-03-19:The funding application has been declined.,Not recommended for inclusion (HML); Not recommended for inclusion (HML); Not recommended for inclusion (HML); Not recommended for inclusion (HML),"&#39;The Subcommittee noted that homatropine 2% single dose eye drops are not widely used in DHB hospitals, and recommended that they not be included in a national PML.    The Subcommittee requested that the view of the Ophthalmology Subcommittee be sought in relation to the need for homatropine in a national PML given the availability of atropine, cyclopentolate and tropicamide.&#39;; &#39;The Subcommittee recommended that homatropine eye drops 2% not be included on the PML as there were acceptable alternatives. Members noted there was no requirement to maintain homatropine eye drops 2% in the community.&#39;",1943-03-23,,1969-12-31
a0ROZ00000754F32AI,Hydrocortisone cream 0.5%,A-00026,,Hydrocortisone cream 0.5%,Pharmac Initiated,Facial dermatitis,Decision,Hydrocortisone cream 0.5%,https://connect.pharmac.govt.nz/apptracker/s/application-public/a102P000008pua8,Dermatologicals,2011-01-01 00:00:00,2013-04-24 00:00:00,844,273,427,90,-120,30,121,2011-01-01:Application received,"2011-10-04:Clinical advice received from Hospital Pharmaceuticals Subcommittee at meeting Tuesday 4 October 2011.
2012-05-15:Clinical advice received from Dermatology Subcommittee at meeting Tuesday 15 May 2012.
2012-11-08:Clinical advice received from Pharmacology and Therapeutics Advisory Committee (PTAC) at meeting Thursday 8 November 2012.
2013-12-09:Clinical advice received from Dermatology Subcommittee at meeting Monday 9 December 2013.",2012-12-01:Working to compare options,2013-03-01:The relative ranking of the pharmaceutical application has been completed.,2012-11-19:Public consultation for this application is active.,2012-12-21:Public consultation for this application is now closed. Pharmac is reviewing consultation feedback.,2013-04-24:The funding application has been declined.,Recommended for funding with no priority; Not recommended for inclusion (HML); Not recommended for inclusion (HML); Decline,"<p>4.5    The Subcommittee noted that Pharmac has received a request from the Canterbury, Hawkes Bay and Taranaki DHBs for the listing of hydrocortisone cream 0.5% on the HML. Members noted that the applicants state that the 1% hydrocortisone cream is too potent for use in facial dermatitis. </p><p>4.6     The Subcommittee considered that there was a misconception that a weaker concentration of the same corticosteroid molecule would be less potent. Potency is related more to the nature of the corticosteroid molecule than dilution. </p><p>4.7     The Subcommittee recommended not listing hydrocortisone 0.5% on the HML</p><p><br></p>; <p>This medicine will not be funded for use in publicly funded hospitals at this time. This decision does not  prevent PHARMAC from reconsidering funding in the future if, for instance, new evidence or other relevant information that addresses the reasons for the decline decision became available.</p>; <p>The consultation document can be found at:</p><p><a href=""https://pharmac.govt.nz/assets/consultation-2012-11-19-pharmaceuticals-hospital-community.pdf"" target=""_blank"">Proposal Relating to the Funding of Certain Pharmaceuticals in DHB Hospitals and in the Community</a></p>; <p>The notification for this decision can be found at:</p><p><a href=""https://pharmac.govt.nz/assets/notification-2013-04-24-hospital-medicine-decisions.pdf"" target=""_blank"">Decisions relating to hospital medicines funding </a></p><p><br></p>",1951-12-21,2017-10-18,1962-01-01
