Chemical_Name,Community_URL,Indication,Therapeutic_group
Faricimab,/apptracker/s/application-public/a10OZ0000001GxB,Vabysmo (faricimab) for the second-line treatment of patients with neovascular (wet) age-related macular degeneration,
Faricimab,/apptracker/s/application-public/a10OZ0000001Gyn,Vabysmo (faricimab) for the second-line treatment of patients with diabetic macular oedema (DMO).,
Ferrous Sulfate 325mg with Ascorbic Acid 500mg,/apptracker/s/application-public/a102P000008ptyp,Open listing,Alimentary Tract and Metabolism
Fixed duration ibrutinib plus venetoclax,/apptracker/s/application-public/a10OZ000000Ltb0,previously untreated chronic lymphocytic leaukaemia (CLL) with TP53 mutation,
HCU LOPHLEX POWDER,/apptracker/s/application-public/a102P00000ATdn0,Homocystinuria,Special Foods
Homocystinuria (HCU) Cooler,/apptracker/s/application-public/a102P000008puTM,Homocystinuria (HCU),Special Foods
Infliximab SC,/apptracker/s/application-public/a102P00000BQBeV,All currently funded indications (adults >18years),
Insulin Glargine - Long Acting,/apptracker/s/application-public/a102P000008ptpm,Diabetes,Alimentary Tract and Metabolism
Insulin Glargine - Long Acting,/apptracker/s/application-public/a102P000008ptpp,Type 1 diabetes,Alimentary Tract and Metabolism
Insulin detemir,/apptracker/s/application-public/a102P000008ptu0,"Diabetes: cystic fibrosis; insulinopaenic type 2 ;or type 2, multiple injections & hypoglycaemia",Alimentary Tract and Metabolism
Insulin detemir,/apptracker/s/application-public/a102P000008pty5,Multiple daily injections where compliance may be an issue,Alimentary Tract and Metabolism
Insulin detemir,/apptracker/s/application-public/a102P000008pu4m,Diabetes - type 1 (2nd-line LA insulin treatment),Alimentary Tract and Metabolism
KetoCal 4:1 LQ,/apptracker/s/application-public/a102P00000ATdft,"Epilepsy treated with ketogenic diet and other conditions, requiring appropriate nutrition",Special Foods
Lacosamide syrup,/apptracker/s/application-public/a102P00000BVtwY,"Epilepsy,  same line as current special authority criteria",Nervous System
MSUD LOPHLEX POWDER,/apptracker/s/application-public/a102P00000ATdqi,Maple Syrup Urine Disease,Special Foods
Macitentan,/apptracker/s/application-public/a10OZ000001jcWn,Portopulmonary hypertension,
"Mesalazine, granules, 2 g sachets",/apptracker/s/application-public/a102P000008ptyl,Inflammatory bowel disease and similar,Alimentary Tract and Metabolism
Modafinil,/apptracker/s/application-public/a102P000008pu2H,Narcolepsy - first-line,Nervous System
Nab-paclitaxel,/apptracker/s/application-public/a10OZ0000001REH,"Any cancer, contraindicated or intolerant to taxane chemotherapy",Oncology Agents and Immunosuppressants
Nab-paclitaxel,/apptracker/s/application-public/a10OZ0000001RFt,"Any cancer, following grade 3+ hypersensitivity reaction on paclitaxel",Oncology Agents and Immunosuppressants
Natalizumab (subcutaneous administration),/apptracker/s/application-public/a102P00000BYlWI,Relapsing-remitting multiple sclerosis (RRMS),Nervous System
Ocrelizumab subcutaneous formulation,/apptracker/s/application-public/a10OZ0000024MK9,"Same indications as the intravenous formulation (relapsing remitting multiple sclerosis, and primary progressive multiple sclerosis)",Nervous System
Ofatumumab,/apptracker/s/application-public/a102P00000BXRxM,Relapsing Remitting Multiple Sclerosis (MS),Nervous System
Oral Feed 1.5Kcal/ml - Fortijuce,/apptracker/s/application-public/a102P000008ptz9,Malnutrition,Special Foods
Oral feed 1.5k cal/ml liquid,/apptracker/s/application-public/a102P000008pu3M,Cystic fibrosis patients > 10 years old,Special Foods
Paracetamol 1000 mg with ibuprofen 300 mg in 100 mL solution for infusion,/apptracker/s/application-public/a102P00000A9y1G,Acute pain (hospital use),Nervous System
Pembrolizumab Axitinib,/apptracker/s/application-public/a10OZ000000APQ9,"Pembrolizumab and axitinib, first line treatment of advanced clear cell renal cell carcinoma",Oncology Agents and Immunosuppressants
Pembrolizumab Lenvatinib,/apptracker/s/application-public/a10OZ000000Ac41,"advanced clear cell renal cell carcinoma, first line",Oncology Agents and Immunosuppressants
"Pertuzumab and trastuzumab (SC, as PHESGO)",/apptracker/s/application-public/a102P00000BZPBk,HER2-positive metastatic or locally recurrent unresectable breast cancer in combination with docetaxel,Oncology Agents and Immunosuppressants
Prasugrel,/apptracker/s/application-public/a102P00000AnpIO,"Acute coronary syndrome, STEMI or non-STEMI",
"Pre-thickened fluids: functional juices, milk based beverages, hot beverages",/apptracker/s/application-public/a102P000008puCR,Dysphagia (hospital),Special Foods
Pre-thickened standard supplement,/apptracker/s/application-public/a102P000008puZY,Dysphagia with malnutrition (hospital),Special Foods
Protein drink MSUD,/apptracker/s/application-public/a102P000008puac,Maple Syrup Urine Disease,Special Foods
Riboflavin,/apptracker/s/application-public/a102P00000Au6e0,Perioperative use (cystoscopy),Genito-Urinary System
Rifampicin/Isoniazid/Pyrazinamide/Ethambutol - fixed dose combinations,/apptracker/s/application-public/a102P000008puVC,Tuberculosis,Infections - Agents for Systemic Use
SYMBICORT® RAPIHALER® 100/3; metered aerosol inhaler,/apptracker/s/application-public/a102P00000AYn0Z,Asthma,Respiratory System and Allergies
Sofosbuvir with velpatasvir and voxilaprevir,/apptracker/s/application-public/a102P000008pu4P,"Hepatitis C, second-line after prior direct-acting antiviral treatment, NS5A resistance",Infections - Agents for Systemic Use
Sofosbuvir with velpatasvir and voxilaprevir,/apptracker/s/application-public/a10OZ0000001QtJ,"Hepatitis C, second-line after prior direct-acting antiviral treatment",
TYR LOPHLEX POWDER,/apptracker/s/application-public/a102P00000ATdkf,For use from 3 years of age and adults for the dietary management of Tyrosinaemia (TYR).,Special Foods
Taurolidine and citrate,/apptracker/s/application-public/a102P000008puSV,Catheter lock solution,Blood and Blood Forming Organs
Terbinafine creams and gels,/apptracker/s/application-public/a102P000008pu7b,Antifungal cream,Dermatologicals
"Trastuzumab, subcutaneous",/apptracker/s/application-public/a102P000008ptpR,"Breast cancer, same indication as IV trastuzumab",Oncology Agents and Immunosuppressants
Upadacitinib,/apptracker/s/application-public/a10OZ000000ul13,"Crohn's disease, severe, 1st line biologic",Alimentary Tract and Metabolism
Vanzacaftor with tezacaftor and deutivacaftor (Alyftrek),/apptracker/s/application-public/a10OZ000003lLVW,"Cystic fibrosis, aged 6 years and older, with F508del mutation(s) or another responsive mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene, eligible for elexacaftor/tezacaftor/ivacaftor and ivacaftor",Respiratory System and Allergies
Varenicline Tartrate,/apptracker/s/application-public/a102P000008ptwz,"Smoking cessation, open-listing",Nervous System
Vemurafenib and cobimetinib,/apptracker/s/application-public/a102P000008pu9e,"Melanoma, stage III/IV with BRAF V600 mutation",Oncology Agents and Immunosuppressants
Zanubrutinib,/apptracker/s/application-public/a102P00000BahNf,"Relapsed or refractory chronic lymphocytic leukemia (CLL) or Small lymphocytic lymphoma (SLL) , 17p deletion or TP53 mutation disease, second line",
Zanubrutinib,/apptracker/s/application-public/a102P00000BahwZ,"Relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)﻿, third line",
