Chemical_Name,Community_URL,Indication,Therapeutic_group
Benralizumab and mepolizumab,/apptracker/s/application-public/a10OZ000002Be2c,"Severe eosinophilic asthma, waning efficacy from current anti-IL5 biologic agent - widen access to allow switching between anti-IL5 biologic agents beyond 12 months",Respiratory System and Allergies
Bevacizumab,/apptracker/s/application-public/a102P000008ptpo,"Metastatic colorectal cancer , neoadjuvant treatment for metastatic disease confined to the liver",Oncology Agents and Immunosuppressants
Bevacizumab,/apptracker/s/application-public/a102P000008ptxU,"Cervical cancer, advanced",Oncology Agents and Immunosuppressants
Brentuximab vedotin,/apptracker/s/application-public/a10OZ0000000hzR,Previously untreated systemic anaplastic large-cell lymphoma (sALCL),Oncology Agents and Immunosuppressants
Bruton tyrosine kinase inhibitor (BTKi),/apptracker/s/application-public/a10OZ000000LuNN,"Chronic lymphocytic leukaemia (CLL), first-line, without TP53 mutation",Oncology Agents and Immunosuppressants
Bruton tyrosine kinase inhibitor (BTKi),/apptracker/s/application-public/a10OZ000000LuVR,"Chronic lymphocytic leukaemia (CLL), first-line, with TP53 mutation",Oncology Agents and Immunosuppressants
Budesonide controlled-release,/apptracker/s/application-public/a102P000008pu9g,"Ulcerative colitis, mild to moderately active",Alimentary Tract and Metabolism
Budesonide orodispersible tablets,/apptracker/s/application-public/a102P00000BY17Q,"Eosinophilic oesophagitis, 2nd line after fluticasone",Alimentary Tract and Metabolism
Buprenorphine injection (Buvidal),/apptracker/s/application-public/a102P00000BHRv4,"Opioid dependence, maintenance treatment",Nervous System
Buprenorphine modified release solution for injection (Sublocade),/apptracker/s/application-public/a102P00000Al9Ir,"Opioid dependence, maintenance treatment",Nervous System
Cannabidiol,/apptracker/s/application-public/a102P00000BTLIN,"Dravet Syndrome, adjunctive therapy",Nervous System
Carfilzomib,/apptracker/s/application-public/a102P000008pug4,Relapsed or refractory multiple myeloma,Oncology Agents and Immunosuppressants
Carfilzomib,/apptracker/s/application-public/a102P00000BIsC8,"Multiple myeloma, relapsed or refractory, 2nd line",Oncology Agents and Immunosuppressants
Carglumic acid,/apptracker/s/application-public/a102P000008pu8I,Hyperammonaemia resulting from CPS1 and NAGs deficiencies of urea cycle.,Alimentary Tract and Metabolism
Carglumic acid,/apptracker/s/application-public/a102P000008pubu,"Hyperammonaemia resulting from isovaleric, methylmalonic and propionic organic acidaemias",Alimentary Tract and Metabolism
Ciclosporin eye preparation,/apptracker/s/application-public/a102P000008pu7u,"Severe keratoconjunctivitis sicca, severe atopic keratoconjunctivitis and severe vernal keratoconjunctivitis",Sensory Organs
Daratumumab,/apptracker/s/application-public/a10OZ0000001LOz,2L SC + 4L IV - Multiple Myeloma relapsed or refractory,
"Daratumumab (in combination with bortezomib, cyclophosphamide and dexamethasone)",/apptracker/s/application-public/a102P00000BD1Sr,"AL amyloidosis, 1L",Oncology Agents and Immunosuppressants
Daratumumab IV (with bortezomib and dexamethasone),/apptracker/s/application-public/a102P000008ptxu,"Multiple myeloma, relapsed or refractory, 2nd line",Oncology Agents and Immunosuppressants
Daratumumab subcutaneous,/apptracker/s/application-public/a102P00000BD0yw,"Multiple myeloma, received one prior line of myeloma therapy (1PL).",Oncology Agents and Immunosuppressants
Darolutamide,/apptracker/s/application-public/a102P00000BSUIe,"Prostate cancer, high risk,  non-metastatic, castration-resistant (nmCRPC)",
Durvalumab,/apptracker/s/application-public/a102P00000Bajp3,"biliary tract cancer, Locally advanced or metastatic, in combination with chemotherapy",Oncology Agents and Immunosuppressants
Durvalumab,/apptracker/s/application-public/a10OZ0000038EnF,"Extensive-stage small cell lung cancer (ES-SCLC),  first-line",Oncology Agents and Immunosuppressants
Elexacaftor/tezacaftor/ivacaftor and ivacaftor,/apptracker/s/application-public/a10OZ000000hRHt,"Cystic fibrosis, aged 2-5 years, with F508del mutation(s) in the CFTR gene, G551D mutation or other mutation responsive in vitro to Trikafta",Respiratory System and Allergies
Empagliflozin,/apptracker/s/application-public/a102P00000BaVPW,"Chronic kidney disease (CKD), non-diabetic",Genito-Urinary System
Enzalutamide,/apptracker/s/application-public/a102P00000BKbSL,"Prostate cancer, metastatic, castration resistant, contraindicated to abiraterone",Oncology Agents and Immunosuppressants
Eplerenone,/apptracker/s/application-public/a102P000008puD9,"Hypertension, treatment refractory, intolerant to spironolactone",Cardiovascular System
Eplerenone,/apptracker/s/application-public/a102P000008puaw,Primary aldosteronism; intolerant to spironolactone,Cardiovascular System
Erenumab,/apptracker/s/application-public/a102P00000BIw0I,Chronic migraine prevention,Nervous System
Erenumab,/apptracker/s/application-public/a10OZ0000000zI1,Episodic migraine prevention,
Febuxostat,/apptracker/s/application-public/a102P000008ptr6,Gout - widen access,Musculoskeletal System
Female/internal condoms,/apptracker/s/application-public/a102P000008pugE,Sexually transmitted infection (STI) prevention and contraception,Genito-Urinary System
Fixed duration venetoclax with obinutuzumab,/apptracker/s/application-public/a102P000009sDbV,"Chronic lymphocytic leukaemia (CLL),  previously untreated",Oncology Agents and Immunosuppressants
Fixed-duration ibrutinib plus venetoclax,/apptracker/s/application-public/a102P00000BYfHQ,"Chronic lymphocytic leukaemia (CLL) or small lymphocytic leukaemia (SLL), previously untreated, without TP53 mutation",Oncology Agents and Immunosuppressants
Fomepizole,/apptracker/s/application-public/a102P000008ptyT,Methanol poisoning,Various
Fremanezumab,/apptracker/s/application-public/a10OZ000004REhJ,Episodic migraine prevention,Nervous System
Fremanezumab,/apptracker/s/application-public/a10OZ000004REnl,Chronic migraine prevention,Nervous System
Galcanezumab,/apptracker/s/application-public/a102P00000BXRxH,Chronic migraine prevention,Nervous System
Galcanezumab,/apptracker/s/application-public/a102P00000BYQiM,Episodic migraine prevention,Nervous System
Guselkumab,/apptracker/s/application-public/a102P00000Ba2XE,"Plaque psoriasis, moderate to severe, 1st line biologic",Dermatologicals
Guselkumab,/apptracker/s/application-public/a102P00000BaNat,"Plaque psoriasis, moderate to severe, 2nd line biologic",Dermatologicals
Guselkumab,/apptracker/s/application-public/a10OZ000000uZcc,"Psoriatic arthritis, 2nd line biologic",
Ibrutinib,/apptracker/s/application-public/a102P000008puXu,Relapsed or refractory mantle cell lymphoma (R/R MCL),Oncology Agents and Immunosuppressants
Inactivated trivalent influenza vaccine prepared in cell cultures (TIVc),/apptracker/s/application-public/a10OZ000003tFaz,Influenza vaccine for people 6 months to under 65 years of age,National Immunisation Schedule
Infliximab,/apptracker/s/application-public/a102P00000AlWG7,"Crohn's disease and ulcerative colitis, dose escalation, widening access",Alimentary Tract and Metabolism
Influenza vaccine,/apptracker/s/application-public/a102P00000BRGrN,Options for widened access - Open listing,National Immunisation Schedule
Influenza vaccine,/apptracker/s/application-public/a102P00000BROFJ,People over 50 years of age -widen access,National Immunisation Schedule
Influenza vaccine,/apptracker/s/application-public/a102P00000BROGR,Children up to 18 years of age - widen access,National Immunisation Schedule
Influenza vaccine,/apptracker/s/application-public/a10OZ000001rzeI,Individuals aged 0 to 59 months,
Ketamine,/apptracker/s/application-public/a102P000008puUd,Emergency use for primary care,Nervous System
Lanreotide acetate,/apptracker/s/application-public/a102P000008puZP,"Gastroenteropancreatic neuroendocrine tumours, non-functional",Oncology Agents and Immunosuppressants
Letermovir,/apptracker/s/application-public/a102P000008puFK,"Cytomegalovirus infection prophylaxis, stem cell transplant patients",Infections - Agents for Systemic Use
Low Protein Foods,/apptracker/s/application-public/a102P000009LHTR,PKU phenylketonuria,Special Foods
"Lubricant, non-irritant, water-based, single use packets",/apptracker/s/application-public/a102P000008puQw,Sexual health,Genito-Urinary System
"Meningococcal  A, C, Y And W-135 Vaccine",/apptracker/s/application-public/a102P000008pu9d,Children aged 1 to 4 years,National Immunisation Schedule
"Meningococcal  A, C, Y And W-135 Vaccine",/apptracker/s/application-public/a102P000008puDK,"Young people aged 13 to 21 years, ongoing vaccination at 14 years of age",National Immunisation Schedule
"Meningococcal A, C, Y And W-135 Vaccine",/apptracker/s/application-public/a102P000008pu50,"Young people aged 5 to 21 years, ongoing vaccination at 14 years of age",National Immunisation Schedule
Mepolizumab,/apptracker/s/application-public/a102P00000AYn1O,"Eosinophilic asthma, lowering minimum blood eosinophil count to 300 cells per microlitre",Oncology Agents and Immunosuppressants
Mepolizumab,/apptracker/s/application-public/a102P00000AnQL4,"Eosinophilic asthma, remove requirement for Asthma Control Test (ACT)",Oncology Agents and Immunosuppressants
Migalastat,/apptracker/s/application-public/a102P000008pu0n,Fabry disease,Alimentary Tract and Metabolism
Multivitamin with trace elements,/apptracker/s/application-public/a102P000008puae,"Bariatric surgery, prevention of micronutrient deficiencies",Alimentary Tract and Metabolism
Nab-paclitaxel,/apptracker/s/application-public/a102P000008ptow,Metastatic breast cancer,Oncology Agents and Immunosuppressants
Nab-paclitaxel,/apptracker/s/application-public/a102P000008pu1I,"Pancreatic cancer, metastatic, 1st line",Oncology Agents and Immunosuppressants
Nab-paclitaxel,/apptracker/s/application-public/a102P00000BQdRd,"Metastatic breast cancer, contraindicated or intolerant to taxane chemotherapy",
Nab-paclitaxel,/apptracker/s/application-public/a102P00000BX13e,"Metastatic breast cancer, following grade 3+ hypersensitivity reaction on paclitaxel",Oncology Agents and Immunosuppressants
Nitisinone,/apptracker/s/application-public/a102P000008ptrM,Tyrosinaemia Type 1,Alimentary Tract and Metabolism
Non-latex condoms,/apptracker/s/application-public/a102P000008puaC,Sexually transmitted infection (STI) prevention and contraception in patients with latex allergies,Genito-Urinary System
Onasemnogene abeparvovec,/apptracker/s/application-public/a102P00000BY8r2,"Spinal muscular atrophy (SMA), pre-symptomatic or type 1",Nervous System
Oral feed 1.5k cal/ml liquid ONS,/apptracker/s/application-public/a102P000008ptz6,Head and Neck Cancer,Special Foods
Pegunigalsidase alfa-iwxj,/apptracker/s/application-public/a10OZ00000466q1,Fabry Disease,
Pembrolizumab,/apptracker/s/application-public/a102P00000BYrky,"Breast cancer, triple negative, early Stage II or III, neoadjuvant treatment followed by adjuvant monotherapy",Oncology Agents and Immunosuppressants
Pembrolizumab,/apptracker/s/application-public/a102P00000BajR0,Biliary tract cancer,Oncology Agents and Immunosuppressants
Perampanel,/apptracker/s/application-public/a102P00000AlVHF,Focal epilepsy,Nervous System
Pertussis-containing vaccine,/apptracker/s/application-public/a10OZ000003t4vh,Additional dose of pertussis-containing vaccine in the second year of life: Widening access ,National Immunisation Schedule
Pertuzumab (IV form),/apptracker/s/application-public/a102P000008ptqk,"Breast cancer, HER2-positive, locally advanced, inflammatory or early-stage, neoadjuvant treatment",Oncology Agents and Immunosuppressants
"Pertuzumab and trastuzumab (SC, as PHESGO)",/apptracker/s/application-public/a102P00000BSgcX,"Breast cancer, HER2-positive, locally advanced, inflammatory or early-stage, neoadjuvant treatment",Oncology Agents and Immunosuppressants
Pneumococcal vaccine (PCV13),/apptracker/s/application-public/a102P00000BZUOn,"Prevention of IPD, supplemental dose, individuals aged 12 to 59 months",National Immunisation Schedule
Prednisolone oral liquid,/apptracker/s/application-public/a102P000008ptqh,Removal of restrictions,Hormone Preparations - Systemic Excluding Contraceptive Hormones
Prucalopride succinate,/apptracker/s/application-public/a102P000008ptz8,Chronic slow transit constipation,Alimentary Tract and Metabolism
Raltitrexed,/apptracker/s/application-public/a102P000008pua2,"Colorectal cancer, intolerant or contraindicated to fluoropyrimidine due to cardiac toxicity",Oncology Agents and Immunosuppressants
Recombinant Zoster Vaccine,/apptracker/s/application-public/a102P00000BUKp9,People over 65 years of age who require a Shingrix catch-up at least 5 years post Zostavax,National Immunisation Schedule
Recombinant Zoster Vaccine,/apptracker/s/application-public/a102P00000BUKrt,"Prevention of herpes zoster and post-herpetic neuralgia, people at 50 years of age and a catch-up program  for people 51 to 64 years",National Immunisation Schedule
Recombinant Zoster Vaccine,/apptracker/s/application-public/a10OZ000000UvLp,Catch-up programme due to COVID-19 pandemic disruption,
Recombinant Zoster Vaccine,/apptracker/s/application-public/a10OZ000000ioHF,"Prevention of herpes zoster in adults aged 66 to 74 years, plus catch up for those aged 75 years and over",
Ring pessary,/apptracker/s/application-public/a102P00000Au6xl,"Treatment for pelvic prolapse, vaginal or rectal in women",Genito-Urinary System
Ripretinib,/apptracker/s/application-public/a102P00000BNzPa,For people with advanced metastatic or unresectable GIST who have experienced disease progression following treatment with imatinib and sunitinib,Oncology Agents and Immunosuppressants
Risankizumab,/apptracker/s/application-public/a102P000008puXW,"Chronic plaque psoriasis, 1st line biologic",Dermatologicals
Risankizumab,/apptracker/s/application-public/a102P00000B1Jf9,"Chronic plaque psoriasis, 2nd line biologic",
Rufinamide,/apptracker/s/application-public/a102P00000BHRQO,Developmental and epileptic encephalopathies,Nervous System
SMA treatments,/apptracker/s/application-public/a10OZ0000000uQP,"People with SMA types IIIb, IIIc and undefined III aged 18 years and under (symptomatic after 3 years of age)",
Sacituzumab govitecan,/apptracker/s/application-public/a10OZ0000000O2L,"Breast Cancer,  Triple-Negative,Locally Advanced or Metastatic",Oncology Agents and Immunosuppressants
Sapropterin,/apptracker/s/application-public/a102P000008puXt,Phenylketonuria (PKU),Alimentary Tract and Metabolism
Sirolimus (Rapamycin),/apptracker/s/application-public/a102P00000BYYkJ,Facial angiofibromas associated with Tuberous Sclerosis Complex,
"Sodium hypochlorite, 5% diluted",/apptracker/s/application-public/a102P000008pu0U,"Eczema, secondary bacterial infection",Dermatologicals
Somatropin,/apptracker/s/application-public/a102P000008ptyS,"Prader-Willi Syndrome, widened access for adults and adolescents",Hormone Preparations - Systemic Excluding Contraceptive Hormones
Somatropin,/apptracker/s/application-public/a102P00000BPnSy,"Short stature due to chronic renal insufficiency, amending GFR to 60ml/min/1.73m2",Hormone Preparations - Systemic Excluding Contraceptive Hormones
Somatropin Growth Hormone,/apptracker/s/application-public/a102P000008puY5,Short children born small for gestational age,Hormone Preparations - Systemic Excluding Contraceptive Hormones
Teduglutide,/apptracker/s/application-public/a102P000008puRo,Short bowel syndrome intestinal failure for adults,Alimentary Tract and Metabolism
Teduglutide,/apptracker/s/application-public/a10OZ0000000uTd,Short bowel syndrome intestinal failure for children,
Trastuzumab deruxtecan,/apptracker/s/application-public/a10OZ000001A07q,"breast cancer, unresectable or metastatic, HER2 low (IHC 1+ or IHC 2+ or ISH negative)",Oncology Agents and Immunosuppressants
Upadacitinib,/apptracker/s/application-public/a102P00000BNnhH,"Psoriatic arthritis, 2nd line biologic",Oncology Agents and Immunosuppressants
Upadacitinib,/apptracker/s/application-public/a102P00000BR3Xe,"Psoriatic arthritis (PsA), 3rd line biologic",Oncology Agents and Immunosuppressants
Ustekinumab,/apptracker/s/application-public/a102P000008pucX,"Psoriasis, chronic plaque, 1st line",Dermatologicals
Ustekinumab,/apptracker/s/application-public/a10OZ000000H0lC,"Psoriasis, chronic plaque, 2nd line",
Vanzacaftor with tezacaftor and deutivacaftor (Alyftrek),/apptracker/s/application-public/a10OZ000004nC7O,"Cystic fibrosis in people aged 6 years and older with F508del mutation(s) or another responsive mutation in the cystic fibrosis transmembrane conductance regulator (CTFR) gene, ineligible for elexacaftor/tezacaftor/ivacaftor and ivacaftor",
Vismodegib,/apptracker/s/application-public/a102P000008puDo,"Basal cell carcinoma, locally advanced or metastatic",Oncology Agents and Immunosuppressants
Voretigene neparvovec,/apptracker/s/application-public/a102P00000BXTtD,"inherited retinal dystrophy, biallelic RPE65 mutations",Sensory Organs
Zanubrutinib,/apptracker/s/application-public/a102P00000BaaQE,Relapsed or refractory mantle cell lymphoma (R/R MCL),Oncology Agents and Immunosuppressants
Zanubrutinib,/apptracker/s/application-public/a102P00000Babqi,"Chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL), relapsed or refractory, second line",Oncology Agents and Immunosuppressants
Zonisamide,/apptracker/s/application-public/a102P000009qscT,Developmental and epileptic encephalopathies,Nervous System
Zonisamide,/apptracker/s/application-public/a102P00000AiIAH,"Focal epilepsy, treatment refractory",Nervous System
